locusId	sysName	desc	comb	setATCH110 LB	setATCH111 LB	setATCH112 LB	setATCH128 M9	setATCH129 M9	setATCH130 M9	setATCH145 PDB	setATCH146 PDB	setATCH147 PDB	setATCH148 Atlantic	setATCH149 Atlantic	setATCH150 Atlantic	setATCH151 Atlantic	setATCH152 Atlantic	setATCH153 Atlantic	setATCH154 Norland	setATCH155 Norland	setATCH156 Norland	setATCH157 Norland	setATCH158 Norland	setATCH159 Norland	setATCH160 Upstate	setATCH161 Upstate	setATCH162 Upstate	setATCH163 Upstate	setATCH164 Upstate	setATCH165 Upstate	setATCH191 LB	setATCH192 LB	setATCH194 PDB	setATCH195 PDB	setATCH196 PDB	setATCH197 M9	setATCH198 M9	setATCH199 M9
DDA3937_RS00005	DDA3937_RS00005	FMN-binding protein MioC	DDA3937_RS00005 FMN-binding protein MioC	-0.0160227068804411	0.191508948477474	-0.353060518609777	-0.154942428147606	-0.400957083588247	-0.0211560727523914	0.470197336724474	-0.801897084692734	0.264273811331707	-1.06215232315648	-0.472852115853118	0.434862665927168	-0.0733611851855149	-0.547711113604474	-0.789079558444282	-0.59456403714984	-1.17485346977372	-0.784113095047761	-0.644203696117975	-0.997107749591834	-0.399442841666342	-0.486943430441213	-0.400177781573197	0.122657052334853	-0.546080685902258	0.0552749874743022	-0.639185113468347	-0.438942102132976	-0.28918234125351	0.681250560571577	0.0881809929272674	0.409884979661544	0.398251987074804	0.0258653964039011	-0.408093832614711
DDA3937_RS00010	DDA3937_RS00010	transcriptional regulator AsnC	DDA3937_RS00010 transcriptional regulator AsnC	-0.261603427093449	-0.173798083531605	-0.089015753052434	-1.38936930793624	-1.17830489828034	-1.70953796277733	-0.834791897880856	-0.642349306626164	-0.825215737288904	-0.514796595719716	-0.236171034258753	-0.135298007477763	-0.277956548024137	-0.418462847832634	-0.0966168217418732	-0.0778173952508894	-0.243114406187542	-0.104192060642919	-0.238786142669862	-0.241705174499482	0.0895847926047739	-0.202336514803591	-0.144176525120945	0.0666547349106139	-0.165501626830357	-0.147320857394859	-0.0931858102365994	-0.0129899742497874	-0.01491985434464	-0.659450105442053	-0.753903497362726	-0.539696786447565	-1.37929546597528	-0.413249947469921	-0.479666808292877
DDA3937_RS00015	DDA3937_RS00015	ATPase RavA stimulator ViaA	DDA3937_RS00015 ATPase RavA stimulator ViaA	-0.104557545240827	-0.0182522543406017	-0.0430384145894323	0.0876024836076466	-0.0340389815026552	0.119862981303511	2.11621386014972	1.98564764593514	2.170576996643	0.070756489330142	-0.208421839785424	-0.103123479016499	0.135271865788185	0.139444972689258	0.254969419131175	0.0751605689692421	0.0523114926254786	-0.287539607081225	0.0352656838279752	0.0461533532224006	0.106447078114193	-0.124798058648638	0.0495909009111097	0.137280860166397	0.367555685174626	0.109452382327061	-0.115052051032982	0.079689979431331	0.00433468187835695	2.03673682454459	2.05684996600704	1.96978715961929	0.0975915022311495	-0.123401167671307	-0.0401196859890596
DDA3937_RS00020	DDA3937_RS00020	ATPase RavA	DDA3937_RS00020 ATPase RavA	-0.070659913687666	-0.125277748322384	-0.113764774653161	0.0435210731526134	0.0413550276474508	0.116336730911268	2.40534594496827	2.06168092877295	2.36797223917146	0.332899188485353	-0.0362371697169095	-0.0745620191808327	-0.151736785410123	-0.168579610702014	0.0474651450187724	0.0697775013406812	0.0420609223981803	0.0832995597858897	0.0565795696163955	0.261148516551144	-0.0560003572468961	-0.0322980621234148	0.0817542777832128	0.00763857820014913	0.0265720970425798	0.0370566940228643	0.157566823180526	0.00233151753124594	0.0585040381935027	2.0541195848851	2.36844864030414	2.17817807847331	-0.00414562951437181	0.130450553111463	0.241407906526131
DDA3937_RS00025	DDA3937_RS00025	low affinity potassium transporter Kup	DDA3937_RS00025 low affinity potassium transporter Kup	-0.302673553043921	-0.230892273391096	-0.21906493882817	-0.124020958318893	-0.216127801890395	-0.0801400514839989	-2.95783009675666	-2.71501323818844	-2.95675668116314	-0.0655866979720869	0.0798004768790341	-0.109731800141304	0.0674947870742373	0.0644263750847838	-0.0601271146820299	0.0337193989737976	-0.122951275574627	-0.0675469120562227	0.134548148621669	0.125622188358264	-0.137835112923032	0.0584432886891881	0.00788168526308386	0.0376851558258759	0.0118680511361253	0.00524926154977368	0.118969598331194	-0.132907730327418	-0.0306071906050271	-2.40831903168972	-2.64231614830305	-2.83380411955341	-0.182074268087158	0.0482646313632442	0.00862475761537285
DDA3937_RS00030	DDA3937_RS00030	D-ribose pyranase	DDA3937_RS00030 D-ribose pyranase	-0.132439490346229	0.0111284568999488	0.00466720681788968	-0.0651558370347971	0.00601026139554528	-0.225752348789575	-0.651930368438389	-0.476615110727469	-0.206938911915839	-0.313332135632704	0.304399455230983	-0.108679002265925	0.107589181186612	0.129706712910898	-0.035680145291324	-0.287151935587618	0.0384113550381715	0.196097663547666	0.128891635493646	-0.187364725191734	0.0429118173047347	0.693399295291292	-0.00269617240896913	-0.107583813775867	-0.0211014072995765	0.190229026534143	0.194707906220846	-0.0431422656000644	-0.104899917716943	0.0162655289216995	-0.175873833335523	0.0353392896985838	-0.121894135198793	0.0493431577580712	-0.25004583294705
DDA3937_RS00035	DDA3937_RS00035	ribose ABC transporter ATP-binding protein RbsA	DDA3937_RS00035 ribose ABC transporter ATP-binding protein RbsA	-0.145290898268721	-0.161028807700167	0.0146717887854251	-0.238846902717695	-0.232723542012871	-0.19688172679708	0.023647800854564	-0.0926924342687183	-0.158145193106608	0.334524250945661	-0.00804937310089482	0.160446906050016	-0.0398200680889131	-0.383830846924795	-0.0964409716469028	-0.240334635800112	-0.231650208564502	-0.120890730629384	-0.0710271190243241	-0.162142000172482	-0.0467704564401612	-0.518307615735041	-0.194763790299867	-0.172704441826946	-0.195058102024143	-0.147133515990657	-0.262545796139628	-0.161426249335646	-0.0811485967837888	-0.223012598180646	0.0351187799442361	-0.274424505569447	-0.118459766212544	0.0149650206410736	-0.102227442896411
DDA3937_RS00040	DDA3937_RS00040	ribose ABC transporter permease	DDA3937_RS00040 ribose ABC transporter permease	-0.179671842007199	-0.222507026970069	-0.199470077325674	-0.222087676508155	-0.247033749910267	-0.0532031976995675	-0.0180755037619029	-0.344387835463328	-0.270896996879705	-0.0352025879224325	-0.181976195154629	0.191819794965522	-0.350610836219207	-0.308907784255359	-0.00928324348439613	-0.107590481231431	-0.413902215640249	-0.465423402905359	-0.41258370613115	0.0712096038651198	-0.571465769509112	-0.565624094710301	-0.211131141919378	-0.343230969828399	-0.410663703096825	-0.260495186221748	-0.254311661194122	-0.0754461648905711	0.0559220717377342	-0.00520838985950856	-0.327841290636163	-0.357375894402757	-0.179028518401433	-0.426435263992637	-0.45922491451009
DDA3937_RS00045	DDA3937_RS00045	ribose ABC transporter substrate-binding protein RbsB	DDA3937_RS00045 ribose ABC transporter substrate-binding protein RbsB	0.344307119673205	0.381343087688224	0.329761882452554	0.244803503657941	0.445950895551104	0.339946048503588	0.0409862287079226	-0.534113095617519	-0.361799318118155	-0.290073305106685	0.457826035374021	-0.2040310835872	0.0436271231926415	-0.276012727946948	-0.346101585203478	0.05460638484418	0.0459078128125494	0.141270675060071	0.0269080714592997	0.134950888259984	0.0719762769968673	0.134848266235853	0.100618856715702	-0.418456520318648	-0.413625772838356	-0.409601172267117	-0.0420547010944798	-0.205945223253323	-0.104401500430752	0.0410523786853967	0.333773989385386	-0.135762644696584	0.71506169349123	0.848884138113306	0.431850562990149
DDA3937_RS00050	DDA3937_RS00050	ribokinase	DDA3937_RS00050 ribokinase	0.929434412752291	0.977445349875515	0.811857633052594	1.44229912874132	1.63773637158787	1.62402947484862	-1.0407237224093	-0.658947250488775	-0.651586945734725	0.464951691167313	0.431010005168181	0.138459570735578	0.169166744349011	0.318969576578447	-0.504456033542494	0.533558482884015	0.589144785027834	1.01907469408941	0.539079956082272	0.981580378879718	0.578461362811245	1.91321897632157	0.181252799219833	-0.585411852399912	0.243642316245478	0.453050552217556	0.0134693567980921	-0.534689105908521	-0.4213314423355	-0.334329859883355	-0.0447473184448905	-0.436728055630385	2.19874691040332	1.60675392833493	1.77838092023509
