locusId	sysName	desc	expName	fit	t	se	sdNaive	short	used	maxFit	gMean
HGI48_RS01590	HGI48_RS01590	divisome-associated lipoprotein YraP	setATCH214	5.32439851844211	5.24618807976412	1.01490805085309	0.24693082316441	M9	TRUE	5.32439851844211	556.75566893424
HGI48_RS19720	HGI48_RS19720	intracellular growth attenuator family protein	setATCH214	5.01870497766683	7.79222940537735	0.644065352362889	0.198320012084555	M9	TRUE	5.32439851844211	556.75566893424
HGI48_RS19720	HGI48_RS19720	intracellular growth attenuator family protein	setATCH215	4.41956197221518	7.86394616192467	0.562003081050279	0.202559787352704	M9	TRUE	4.41956197221518	475.445861678005
HGI48_RS19720	HGI48_RS19720	intracellular growth attenuator family protein	setATCH216	4.00684224960354	6.90384673142703	0.580378216011659	0.205906508599083	M9	TRUE	4.00684224960354	465.437925170068
HGI48_RS19720	HGI48_RS19720	intracellular growth attenuator family protein	setATCH217	4.23114743022037	7.72417483216884	0.547779862853301	0.204581077422495	M9	TRUE	4.23114743022037	434.074263038549
HGI48_RS19720	HGI48_RS19720	intracellular growth attenuator family protein	setATCH218	5.20739079404798	10.0450610271195	0.518403101781973	0.203045345153326	M9	TRUE	5.20739079404798	283.591836734694
HGI48_RS19720	HGI48_RS19720	intracellular growth attenuator family protein	setATCH219	4.18816346958715	8.7085445982867	0.480925764611819	0.206793535747254	M9	TRUE	4.18816346958715	411.117346938775
HGI48_RS01985	HGI48_RS01985	helix-turn-helix transcriptional regulator	setATCH220	5.91051856514006	12.568866307807	0.470250730685933	0.0666559492870715	Atlantic	TRUE	5.91051856514006	402.67970521542
HGI48_RS01985	HGI48_RS01985	helix-turn-helix transcriptional regulator	setATCH221	5.9690263896399	12.2334151489227	0.487928049279481	0.0665347862784839	Atlantic	TRUE	5.9690263896399	469.031179138322
HGI48_RS01985	HGI48_RS01985	helix-turn-helix transcriptional regulator	setATCH222	4.09755778836977	10.8455628794407	0.377809601393512	0.0685717822206021	Atlantic	TRUE	4.09755778836977	437.763888888889
HGI48_RS01985	HGI48_RS01985	helix-turn-helix transcriptional regulator	setATCH223	4.64158522053123	10.3482255331869	0.448539240437463	0.0675030438681881	Atlantic	TRUE	4.64158522053123	491.604308390023
HGI48_RS01985	HGI48_RS01985	helix-turn-helix transcriptional regulator	setATCH225	6.14400657950391	14.0294367368736	0.437936796375839	0.0667457948697875	Atlantic	TRUE	6.14400657950391	405.741496598639
HGI48_RS01985	HGI48_RS01985	helix-turn-helix transcriptional regulator	setATCH227	4.53259461239797	11.3703961572835	0.398631195404264	0.0678443213847439	Norland	TRUE	4.53259461239797	443.566609977324
HGI48_RS01985	HGI48_RS01985	helix-turn-helix transcriptional regulator	setATCH228	6.78191640023245	15.7773908041029	0.429850314569682	0.0665463561127226	Norland	TRUE	6.78191640023245	396.026077097506
HGI48_RS01985	HGI48_RS01985	helix-turn-helix transcriptional regulator	setATCH229	5.78563084083585	12.5110883830038	0.46244025009811	0.0667514405117719	Norland	TRUE	5.78563084083585	391.821995464853
HGI48_RS01985	HGI48_RS01985	helix-turn-helix transcriptional regulator	setATCH230	4.32301255308461	11.5291023560604	0.374965233161643	0.0680759195789146	Norland	TRUE	4.32301255308461	438.844387755102
HGI48_RS01985	HGI48_RS01985	helix-turn-helix transcriptional regulator	setATCH234	4.30022204750922	11.2907595875903	0.380862068149568	0.0678861796350686	Upstate	TRUE	4.30022204750922	457.498299319728
HGI48_RS01985	HGI48_RS01985	helix-turn-helix transcriptional regulator	setATCH237	4.21968644021801	12.4644401506518	0.338537983994198	0.0691830390831107	Upstate	TRUE	4.21968644021801	271.177154195011
