locusId	sysName	desc	comb	setATCH203 LB	setATCH204 LB	setATCH206 LB	setATCH207 LB	setATCH208 PDB	setATCH209 PDB	setATCH210 PDB	setATCH211 PDB	setATCH212 PDB	setATCH213 PDB	setATCH214 M9	setATCH215 M9	setATCH216 M9	setATCH217 M9	setATCH218 M9	setATCH219 M9	setATCH220 Atlantic	setATCH221 Atlantic	setATCH222 Atlantic	setATCH223 Atlantic	setATCH224 Atlantic	setATCH225 Atlantic	setATCH226 Norland	setATCH227 Norland	setATCH228 Norland	setATCH229 Norland	setATCH230 Norland	setATCH231 Norland	setATCH233 Upstate	setATCH234 Upstate	setATCH235 Upstate	setATCH236 Upstate	setATCH237 Upstate
HGI48_RS00015	HGI48_RS00015	DNA replication/repair protein RecF	HGI48_RS00015 DNA replication/repair protein RecF	-0.0351670598193987	0.0246060059825304	0.217650283117597	-0.257034106395712	0.10695282895854	-0.00924351667709788	0.293105774429482	-0.159852323618569	0.391255128823016	-0.703750843036463	0.287812036359777	0.193598484689173	-0.146989594175842	-0.339089253393829	0.00286120503036247	0.228101274891892	0.584563399836034	0.714767642570209	0.0765313595597895	0.204627836300201	-0.2366767658422	-0.133853834613402	0.204937410951445	-0.627561477567204	-0.199191219846858	-0.0425106384503684	-0.153958841316244	0.335730069193165	-0.0418256911895927	0.0180298580318825	-0.0294491029722939	-0.00958592607624165	0.398139867986955
HGI48_RS00025	HGI48_RS00025	AAA family ATPase	HGI48_RS00025 AAA family ATPase	0.0134718046896188	-0.0606494597672091	0.0484540524193344	-0.0258635585412641	-0.0746969371580274	-0.201874906130751	-0.239388796072902	-0.132816567204401	-0.0462938115601761	-0.185975659380159	-0.113073622973923	0.125742232972833	0.0757421059912948	0.135288623907282	0.373454654697919	0.0427192307791535	0.0218985318350016	0.0321162231456207	0.0164873336064639	-0.0846833881707466	-0.0143901557417355	0.234794576044552	-0.0717037391905806	0.0550360796379183	-0.0507679916100026	-0.147991020981916	-0.054877190579274	0.109085464022782	0.11991920972723	-0.143726264450667	-0.133871317977865	-0.0667119380081231	-0.0180067263570607
HGI48_RS00035	HGI48_RS00035	MFS transporter	HGI48_RS00035 MFS transporter	-0.129084074140527	0.038768201833563	-0.255841693734391	-0.0105793209739686	0.0383608934025018	-0.0533004577536765	0.128921928946474	0.130973916609378	0.000403074127321768	-0.0665023980031589	-0.114787828344647	0.0902029414645593	0.108000180716131	-0.0708235921366176	0.0932307642488861	-0.0425070885719052	-0.054661379334221	-0.186985691941312	0.044888144341221	0.00945901938047022	-0.359438970754287	-0.00645129179977166	0.0947079761895824	0.185521200249591	-0.347817720394739	0.0946951255640964	-0.150823804728596	-0.0644233326599024	-0.0701043359264624	-0.339724927123855	0.114912702592858	0.0727359476898566	0.187077168060021
HGI48_RS00040	HGI48_RS00040	16S rRNA (guanine(1516)-N(2))-methyltransferase RsmJ	HGI48_RS00040 16S rRNA (guanine(1516)-N(2))-methyltransferase RsmJ	0.385574421207062	-0.967966403058371	-0.301847748674804	0.181370994171171	-0.0535430418660029	-0.243563108041643	-0.195041038425589	-0.539937179796868	-0.488255099735699	-0.062397204308187	-0.128501587088086	-0.0670034951460163	0.626673268159954	-0.594165997716794	-0.872974658629973	-0.511137308857888	-0.612934923106176	0.306893992355416	-1.16581466333899	-0.811380916929971	-0.595088159941422	-0.943813241991198	-0.610352640221323	-0.216476678619292	-0.388557949598589	-0.199113858912201	-0.263610782041245	0.190796304358064	-0.401602665307975	-0.204814437798792	-0.255069585490469	-0.518302721350193	-0.0581871325155154
HGI48_RS00045	HGI48_RS00045	oligopeptidase A	HGI48_RS00045 oligopeptidase A	-0.170665159241966	-0.157377705561361	0.0780786335813655	-0.328406715176001	-1.27526703780122	-1.55403947404613	-1.31159218328567	-1.43227418065373	-1.54152147368174	-1.2758155968098	0.141761017656605	0.0976547730099993	-0.215378687898433	-0.0273633610666455	0.0886088364270698	-0.116297692530885	-0.32134276402213	-0.0362986519201793	-0.273880932120543	-0.0947651353224629	-0.0665002471472514	-0.391532799677359	-0.175882216435627	-0.196751491338936	-0.244292951517197	-0.372031776552207	-0.196096481006195	-0.181082014912106	-0.154914843940847	-0.380459973008484	-0.345034192824355	-0.115179064341423	-0.169837544349854
HGI48_RS00050	HGI48_RS00050	DUF2623 domain-containing protein	HGI48_RS00050 DUF2623 domain-containing protein	0.499324322650099	0.0376762107965894	0.403773734471362	0.273566030864781	0.374272730763612	0.0284040768305557	-0.219396966598139	0.511531891319025	0.793503527689264	0.436341652450161	0.650134565409943	-0.64786011486597	0.1211140590655	0.685014955526431	1.51426953479024	0.151708519559673	0.305044404226539	0.889815383932843	0.390020135270279	0.285452889838577	0.336310445220062	0.298507849408877	0.0501220911112676	0.101983889943432	0.468042997639125	0.229690390249069	0.222498647033342	0.434873029368241	0.0135766373180111	0.537775857877126	-0.515274765862264	0.242031907793671	0.269335098113136
HGI48_RS00055	HGI48_RS00055	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	HGI48_RS00055 23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	0.0411032733668832	0.0015827325864044	-0.16013988937008	0.0759016157070472	0.133419863208355	-0.0431714707253846	0.0731158062447681	-0.287059024267454	-0.293210927414433	-0.157376028368341	-0.206213917253015	0.15819907992454	0.0650158430138315	-0.259178819567472	-0.0752081289808431	-0.172023718477006	0.0904169345429053	0.108492457970794	-0.303575409149612	0.0625668144775038	0.136741307521594	-0.265110059524921	0.0279348285146064	-0.11430188784056	0.282513463564341	-0.190476344501315	-0.0650352891499475	-0.111609418535245	0.0707538527397261	-0.0678384284649571	0.238095618613014	-0.0129920154062337	-0.11298727236683
HGI48_RS00060	HGI48_RS00060	ribonuclease Z	HGI48_RS00060 ribonuclease Z	0.0864733088533017	-0.224381337575671	-0.183063574714323	-0.0166983561740067	0.12591635095248	0.0207541427102652	-0.134720705887457	-0.091415475094564	-0.186653526658426	-0.180719815790753	-0.107797853774127	-0.367097443972418	0.104432812507555	-0.101418000799688	-0.30874972246779	0.126202152811399	-0.144287444271804	-0.243744104534269	0.157664628793959	0.290506331755546	0.325625663730182	0.117356847430674	-0.00799783497998341	-0.115208351828097	0.0311027349831468	-0.104551703954476	0.30218495509683	-0.165908995733467	-0.326307681407664	-0.000119142770675706	-0.161683863360943	0.0659686014266023	0.108098976104952
HGI48_RS00065	HGI48_RS00065	glutathione-disulfide reductase	HGI48_RS00065 glutathione-disulfide reductase	-0.210515443860799	-0.0313982030668529	-0.0107555368372934	-0.105800524405013	0.0766647044932772	-0.144473707810827	0.0178954688626366	0.0263157004727115	-0.0350701281992776	0.125211494823001	-0.0654852799268054	0.147552390448386	0.0193115845012093	0.0811578440417129	0.127542611715734	-0.0705717910219443	-0.110721863809481	-0.311166069552936	-0.0318091390686832	0.00772806832880812	-0.271651689836848	-0.127308272302766	-0.301420291008816	-0.211495302434387	-0.212557202997426	-0.0306919585721881	-0.222096943278472	-0.320719139290204	-0.356250859844433	-0.132892709927049	-0.275668910542521	-0.25832857811103	0.155683187989488
HGI48_RS00070	HGI48_RS00070	MBOAT family protein	HGI48_RS00070 MBOAT family protein	-0.169659059154339	-0.199877762784718	0.0143978783460976	-0.112265870855842	-0.00812111261039705	-0.30973060040304	-0.0568346698247953	-0.147633074131395	-0.18587771097993	-0.401461588546479	-0.127571800143348	-0.0895989002768653	-0.119804235126181	-0.219975664400672	-0.223319456061628	-0.155846816940525	-0.173958666243064	0.0978951037627562	-0.184024586094181	0.200369263726023	0.475782892933813	-0.208950067064771	-0.223738789128123	-0.11707584537175	-0.113747812067591	-0.232421758441243	-0.227413365498363	0.0286000906100394	-0.262426157801083	0.153709364042352	-0.262031169955619	-0.388178982923104	-0.219613932757303
